,Unnamed: 0,isEdited,review,userName,date,rating,title,developerResponse,Location,Star Ratings,Review Text,Review Last Update Date and Time,Star Rating
0,0,False,"I chose the AccuWeather App after I found out that my “farmer” sister showed how well it deciphers the ever changing Rocky Mountain weather.  I like the feature that allows you to see about 120 minutes ahead if there’s snowfall coming and when there might be a chance to get out of the house and run an errand.  It’s been pretty precise too.  The sunrise/sunset and moon phases can also be found on the main screen.  The main screen is well designed and further investigation of the site is easy to navigate through.   It gives you a weekly forecast and if you choose to do so, you can get a 15 day forecast.  I haven’t found the longer range forecast to be as accurate though.  It might be unrealistic to give a 15 day forecast in our day and age.  Even with all our science and gadgets it seems too “far-out” for any prediction.  Short videos are available of weather related events.  If you DON’T pay the approximately $4 a month, you can’t skip the commercials.  They’re pretty short though - 15 seconds- which seems long when you’re waiting for the video.  You can also sign up for weather alerts.  I use AccuWeather’s site almost daily.",Lagrune,2020-02-20 17:08:28,5,"All the facts, easy to read and navigate",,US,5,"I chose the AccuWeather App after I found out that my “farmer” sister showed how well it deciphers the ever changing Rocky Mountain weather.  I like the feature that allows you to see about 120 minutes ahead if there’s snowfall coming and when there might be a chance to get out of the house and run an errand.  It’s been pretty precise too.  The sunrise/sunset and moon phases can also be found on the main screen.  The main screen is well designed and further investigation of the site is easy to navigate through.   It gives you a weekly forecast and if you choose to do so, you can get a 15 day forecast.  I haven’t found the longer range forecast to be as accurate though.  It might be unrealistic to give a 15 day forecast in our day and age.  Even with all our science and gadgets it seems too “far-out” for any prediction.  Short videos are available of weather related events.  If you DON’T pay the approximately $4 a month, you can’t skip the commercials.  They’re pretty short though - 15 seconds- which seems long when you’re waiting for the video.  You can also sign up for weather alerts.  I use AccuWeather’s site almost daily.",2020-02-20 17:08:28,5
1,1,False,"Whatever you do, do not use the future radar. The future radar is not accurate at all. It showed that a thunderstorm would disappear by the time it would hit my area. WRONG. The thunderstorm that is a 5 miles away from my area hits me and brings penny sized hail and flooding rain. Accuweather’s algorithm for using a future radar is terrible. After you get an hour into the future radar mode, it starts broadening out the rain and sometimes exaggerates what you will see. For example, sometimes it says a shower will later turn into a hailstorm but that never happens. Sometimes it will say a thunderstorm will weaken and turn into a shower, but instead it will intensify into a hailstorm. Do not rely on the future radar for anything. All of the other features are pretty accurate. I like how it shows the rain total for the day and the night (could be inaccurate when it comes to spotty thunderstorms). The app is good with only banner ads (at least there is no video ads). I have been using accuweather for 2 years now and I have been satisfied using it, but if you are looking for an accurate future radar I would look somewhere else. Minutecast is very accurate, and I was very impressed when I first saw how accurate it was. This app is one of the first to use a minute by minute system of forecasting and I am very thankful for finding this app on the App Store.

- 2 year AccuWeather user

😀",cookieghost8,2021-07-14 04:09:28,4,Do Not Use The Future Radar,,US,4,"Whatever you do, do not use the future radar. The future radar is not accurate at all. It showed that a thunderstorm would disappear by the time it would hit my area. WRONG. The thunderstorm that is a 5 miles away from my area hits me and brings penny sized hail and flooding rain. Accuweather’s algorithm for using a future radar is terrible. After you get an hour into the future radar mode, it starts broadening out the rain and sometimes exaggerates what you will see. For example, sometimes it says a shower will later turn into a hailstorm but that never happens. Sometimes it will say a thunderstorm will weaken and turn into a shower, but instead it will intensify into a hailstorm. Do not rely on the future radar for anything. All of the other features are pretty accurate. I like how it shows the rain total for the day and the night (could be inaccurate when it comes to spotty thunderstorms). The app is good with only banner ads (at least there is no video ads). I have been using accuweather for 2 years now and I have been satisfied using it, but if you are looking for an accurate future radar I would look somewhere else. Minutecast is very accurate, and I was very impressed when I first saw how accurate it was. This app is one of the first to use a minute by minute system of forecasting and I am very thankful for finding this app on the App Store.

- 2 year AccuWeather user

😀",2021-07-14 04:09:28,4
2,2,False,"There are tons of weather apps available. The devs description is accurate, but I will tell you my top Pros/Cons. PROS: ~ Love the radar. Gives you an option to view the past or future. ~ A slick “Minute by Minute” wheel that pinpoints precipitation for the next two hours. ~ A ton of features that don’t overwhelm you when launching the app. The basic stuff is clearly and nicely laid out and simple taps/swipes will get you to deeper details if desired. CONS: * The “location services” pin points my house right on the mark. But, the app declares the location is a nearby city instead of the one my house is in. * I have several weather apps that use location services plus my own house thermometer. AccuWeather many times states that it is 4-6 degrees cooler than all the others. * That’s it. Some may feel those are picky things, but it is enough to knock off a star IMHO. Overall, a great app. I was happy to pay the $4 to support the devs and also get rid of the ads. 😄

UPDATE: AccuWeather no longer offers a pay once to get rid of ads. It is now a monthly or yearly fee. Besides costing much more, “family sharing” means nothing now. EVERY family member must pay the on-going fee if you want to get rid of the annoying ads. In other words, my pay once fee does not get grandfathered in. 👎🏻",Bill_Johnson,2021-06-17 11:30:41,3,Mostly great!,"{'id': 23546138, 'body': 'Hi Bill, Thank you for being a loyal customer and for the detailed review. We aplogize for this issue. Please reach out to support@accuweather.com so that we can resolve your issue with the $4 lifetime purchase.', 'modified': '2021-06-23T13:43:57Z'}",US,3,"There are tons of weather apps available. The devs description is accurate, but I will tell you my top Pros/Cons. PROS: ~ Love the radar. Gives you an option to view the past or future. ~ A slick “Minute by Minute” wheel that pinpoints precipitation for the next two hours. ~ A ton of features that don’t overwhelm you when launching the app. The basic stuff is clearly and nicely laid out and simple taps/swipes will get you to deeper details if desired. CONS: * The “location services” pin points my house right on the mark. But, the app declares the location is a nearby city instead of the one my house is in. * I have several weather apps that use location services plus my own house thermometer. AccuWeather many times states that it is 4-6 degrees cooler than all the others. * That’s it. Some may feel those are picky things, but it is enough to knock off a star IMHO. Overall, a great app. I was happy to pay the $4 to support the devs and also get rid of the ads. 😄

UPDATE: AccuWeather no longer offers a pay once to get rid of ads. It is now a monthly or yearly fee. Besides costing much more, “family sharing” means nothing now. EVERY family member must pay the on-going fee if you want to get rid of the annoying ads. In other words, my pay once fee does not get grandfathered in. 👎🏻",2021-06-17 11:30:41,3
3,3,True,"I don’t much care for your recent update. It takes too long to finish loading and updating so I can actually get current info. You took away the feature that lets you pull down on the screen for update. You changed the order of the allergens (why would you do that? I had the order memorized, now I have to read each one). You removed the phases of the moon. I do like the “today, tonight, tomorrow” feature. I’ll see how I feel about it all when I get used to it. But the last thing I needed in my life right now was more change.

Update:  got a notification that I got a developer response. But I don’t see any way to access it. Oh well. Might try a different weather app. Oh. To add to the above comments, I now have to scroll to see the humidity. Didn’t need to before. Nuisance.

2nd update. Finally read the developer response. I don’t know if it displays to the general reader, but my take on it was, “Our technology is more important than what you want. So we’re going to push our technology.”  That’s not a quote, but my interpretation. Mr/Ms Developer, I have seen your glowing statements about how everybody just loves the new update. That’s not what I’m reading in the reviews. FYI, people really don’t like being lied to. I’m going elsewhere for my weather.",GaiaLady,2020-07-31 22:58:34,3,"Was a 4, now a 3","{'id': 16953462, 'body': 'We understand the old format is preferred by some of our subscribers but as we keep pace with the advances of technology, our products continue to evolve.  These changes are designed to deliver an improved overall user experience.  We apologize for any inconvenience this may cause.  \r\n\r\nIf there is anything we can do to make the transition easier for you, please do not hesitate to send an email to support@accuweather.com so we can assist you.\r\n\r\nIf you have any further questions, comments or concerns, please let us know.\r\n\r\n', 'modified': '2020-07-31T22:58:34Z'}",US,3,"I don’t much care for your recent update. It takes too long to finish loading and updating so I can actually get current info. You took away the feature that lets you pull down on the screen for update. You changed the order of the allergens (why would you do that? I had the order memorized, now I have to read each one). You removed the phases of the moon. I do like the “today, tonight, tomorrow” feature. I’ll see how I feel about it all when I get used to it. But the last thing I needed in my life right now was more change.

Update:  got a notification that I got a developer response. But I don’t see any way to access it. Oh well. Might try a different weather app. Oh. To add to the above comments, I now have to scroll to see the humidity. Didn’t need to before. Nuisance.

2nd update. Finally read the developer response. I don’t know if it displays to the general reader, but my take on it was, “Our technology is more important than what you want. So we’re going to push our technology.”  That’s not a quote, but my interpretation. Mr/Ms Developer, I have seen your glowing statements about how everybody just loves the new update. That’s not what I’m reading in the reviews. FYI, people really don’t like being lied to. I’m going elsewhere for my weather.",2020-07-31 22:58:34,3
4,4,False,"Landscape mode only?  So it appears this version of the iPad app only allows you to use it in landscape mode and does not support viewing data in portrait mode.  I typically don’t use my iPad in landscape mode except for the odd spreadsheet and videos the rest of the time I use it in portrait mode.  Especially as i am walking around the kitchen each morning trying to get ready for my day and commute to work.  Trying to hold an iPad in landscape mode while also tryin to get out coffee and breakfast for the family is impossible.  I wish that the app would autorotate depending on the orientation of the user or if there were a button in the settings to allow you to force the app into portrait mode.

No more hour by hour graphs? -  the old app allowed you to look at the hour by hour trends of the day in graphical form for temperature, realfeel and % Precipitation. Now all the graphs have been removed and replaced by text?  Before at a glance with the charts I could look at the predictions and see what was likely the trend of the day and therefore provide me an easy way to choose if I should do a task that day.  Now i have to sit and compare and remember each value hour by hour and try and figure out if we’re just getting a pop up shower in the afternoon or if the whole afternoon is going to be a wash for the Zoo or mowing the lawn.",BoilerG97,2020-07-21 00:45:04,1,"Hate the new layout, no portrait mode, no hour by hour graphs",,US,1,"Landscape mode only?  So it appears this version of the iPad app only allows you to use it in landscape mode and does not support viewing data in portrait mode.  I typically don’t use my iPad in landscape mode except for the odd spreadsheet and videos the rest of the time I use it in portrait mode.  Especially as i am walking around the kitchen each morning trying to get ready for my day and commute to work.  Trying to hold an iPad in landscape mode while also tryin to get out coffee and breakfast for the family is impossible.  I wish that the app would autorotate depending on the orientation of the user or if there were a button in the settings to allow you to force the app into portrait mode.

No more hour by hour graphs? -  the old app allowed you to look at the hour by hour trends of the day in graphical form for temperature, realfeel and % Precipitation. Now all the graphs have been removed and replaced by text?  Before at a glance with the charts I could look at the predictions and see what was likely the trend of the day and therefore provide me an easy way to choose if I should do a task that day.  Now i have to sit and compare and remember each value hour by hour and try and figure out if we’re just getting a pop up shower in the afternoon or if the whole afternoon is going to be a wash for the Zoo or mowing the lawn.",2020-07-21 00:45:04,1
5,5,False,"I get the MOST ACCURATE weather from this App ! 
Many weather channels & apps to choose from . I use to go by other sources , but most of them never told me the REAL WEATHER ,LIKE ACCUWEATHER DOES .It also gives more information about what to except on Winds ,Rain , Snow , and with Hourly , Daily or Weekly . So when it’s time for a Vacation or just going out shopping for the Day , I know exactly what to wear , and what items , like a Umbrella or Jacket for the cooler weather in the evening. I Have DELETED ALL MY OTHER WEATHER APPS with mistrusted details ! This one App tells me everything I need for any Outing .Makes my Days Happy , when I’m prepared .Went to Family Reunion, Very Nice Warm 80’s Weather , until the middle of outside Reunion. It started to pour down the rain , and chilled off quickly .I had a change of warmer clothes ,and raincoat & rainboots ,with a Umbrella in my Car .Sure made me tell everyone about Accuweather ,when they all kept asking me , how did you know to be prepared for a such a sudden change ! I felt like I was the Smartest Person Out Of the Whole Family ! 
Thank You Accuweather , you are my Daily Best Friend !
Shelley H .",Lillith200000,2019-09-05 22:37:29,5,Weather,,US,5,"I get the MOST ACCURATE weather from this App ! 
Many weather channels & apps to choose from . I use to go by other sources , but most of them never told me the REAL WEATHER ,LIKE ACCUWEATHER DOES .It also gives more information about what to except on Winds ,Rain , Snow , and with Hourly , Daily or Weekly . So when it’s time for a Vacation or just going out shopping for the Day , I know exactly what to wear , and what items , like a Umbrella or Jacket for the cooler weather in the evening. I Have DELETED ALL MY OTHER WEATHER APPS with mistrusted details ! This one App tells me everything I need for any Outing .Makes my Days Happy , when I’m prepared .Went to Family Reunion, Very Nice Warm 80’s Weather , until the middle of outside Reunion. It started to pour down the rain , and chilled off quickly .I had a change of warmer clothes ,and raincoat & rainboots ,with a Umbrella in my Car .Sure made me tell everyone about Accuweather ,when they all kept asking me , how did you know to be prepared for a such a sudden change ! I felt like I was the Smartest Person Out Of the Whole Family ! 
Thank You Accuweather , you are my Daily Best Friend !
Shelley H .",2019-09-05 22:37:29,5
6,6,False,"I’ve never understood why developers think update/upgrade means take something simple and make it more complicated to work with.   Before the update I could click once or twice and get where I wanted to look.  I get it. It is one or two scenarios at play here.  1. Someone is getting paid so they had to show they were doing something for the money, or, 2. New developers with ambitions to make it their own.   I am the youngest person where I work by a decade + and it has been a point of pride when talking to the “old heads” about weather, that the app I had for weather (what this app WAS) was way better than the ones they have.   Now it is just the same.  I went from being “the weatherman” to having a look of shame in telling them this app isn’t good anymore.   The one positive take away is on the radar the time is segmented better and has a longer time frame (why I have 2 stars instead of the 1).  That and some different graphics would have been a great update.  This was the best weather app in my opinion.  Now it’s just the same as the rest.  Way to play down to the “competition” .  I hope that whoever it was that was in charge of this update is not responsible for developing any of my other apps.",DCIX5,2020-08-04 14:35:32,2,This was the best weather app before the update..,,US,2,"I’ve never understood why developers think update/upgrade means take something simple and make it more complicated to work with.   Before the update I could click once or twice and get where I wanted to look.  I get it. It is one or two scenarios at play here.  1. Someone is getting paid so they had to show they were doing something for the money, or, 2. New developers with ambitions to make it their own.   I am the youngest person where I work by a decade + and it has been a point of pride when talking to the “old heads” about weather, that the app I had for weather (what this app WAS) was way better than the ones they have.   Now it is just the same.  I went from being “the weatherman” to having a look of shame in telling them this app isn’t good anymore.   The one positive take away is on the radar the time is segmented better and has a longer time frame (why I have 2 stars instead of the 1).  That and some different graphics would have been a great update.  This was the best weather app in my opinion.  Now it’s just the same as the rest.  Way to play down to the “competition” .  I hope that whoever it was that was in charge of this update is not responsible for developing any of my other apps.",2020-08-04 14:35:32,2
7,7,True,"Really disappointed to see Minutecast change from what it was before. The ability to rotate clockwise by using my finger was very useful in timing the exact moment I could safely take my dog out (he hates rain!)  It was useful in many other ways and was really the thing I loved most about this app. It seems Minutecast has transitioned to a bar graph which is not as user friendly imho. Also not clear if this bar graph is specific to my exact location now. Landscape-only view on iPad also makes this app an inconvenience to use. Overall, this update is a move in the wrong direction and will have me looking for alternatives.
UPDATE
Dear “Developer:”  Thanks for the condescending response (awww... “change is awkward”). I’m not a moron, I figured out the new bar graph, the point is that your awkward change is not for the better. You didn’t address the iPad landscape-only issue; I suppose that’s another awkward change. Take a look at all the other overwhelmingly negative reviews after this update. Are all your loyal users just idiots like me for voicing their reactions to your awkward changes? If you really care about what you produce, don’t be so dismissive of the users who have supported you in the past. One bad review speaks 100 times louder than one good review.... and you now have an awful lot of bad reviews.",eatmeloveme,2020-07-30 03:28:24,1,What happened to Minutecast?,"{'id': 16962891, 'body': 'Thank you for the feedback. While the home screen MinuteCast wheel is not interactive, the bar graph MinuteCast is. Simply drag the graph from right to left, and you can see the exact moment that you can take your dog out. We realize change is always a bit awkward, if there is anything that we can do to make the transition easier, please contact us at support@accuweather.com.', 'modified': '2020-07-30T03:28:24Z'}",US,1,"Really disappointed to see Minutecast change from what it was before. The ability to rotate clockwise by using my finger was very useful in timing the exact moment I could safely take my dog out (he hates rain!)  It was useful in many other ways and was really the thing I loved most about this app. It seems Minutecast has transitioned to a bar graph which is not as user friendly imho. Also not clear if this bar graph is specific to my exact location now. Landscape-only view on iPad also makes this app an inconvenience to use. Overall, this update is a move in the wrong direction and will have me looking for alternatives.
UPDATE
Dear “Developer:”  Thanks for the condescending response (awww... “change is awkward”). I’m not a moron, I figured out the new bar graph, the point is that your awkward change is not for the better. You didn’t address the iPad landscape-only issue; I suppose that’s another awkward change. Take a look at all the other overwhelmingly negative reviews after this update. Are all your loyal users just idiots like me for voicing their reactions to your awkward changes? If you really care about what you produce, don’t be so dismissive of the users who have supported you in the past. One bad review speaks 100 times louder than one good review.... and you now have an awful lot of bad reviews.",2020-07-30 03:28:24,1
8,8,False,"I was a regular user of Storm, but they deleted the ad-free option so I tried AccuWeather.  Nope, It’s worse.  The forecast, regardless of the name is no better than any other weather forecast, which is to say poor.  A few observations: There is no option that I’ve found for displaying wind speed. The cloud cover is truly odd, lighter cloud cover has darker opacity and heavier cloud cover is lighter opacity, huh?  That’s the opposite of what it should be.  I’ve got the Premium version and it offers a 25 day forecast, well isn’t that special.  The weather forecasters have trouble with tomorrows weather and they think they can forecast 25 days out?  For entertainment purposes only.  I get FAR too many severe weather notifications, many more than I get in Storm.  Most of them are repeats, if a winter weather advisory is posted at 9:00 AM I get a notification right away, if I turn the screen off I will find another notification the next time I open it, for the same original advisory.  Once is enough, thank you!  Finally, the radar is pretty worthless, sometimes there’s nothing there when there should be, other times while playing the past couple of hours some of the “slices” are missing so the rain/snow is hurry jerky.  When I check Storm’s radar it’s much better.  Sorry, but this app is pretty sad.",Pmotz,2018-02-20 14:30:15,2,So so app,,US,2,"I was a regular user of Storm, but they deleted the ad-free option so I tried AccuWeather.  Nope, It’s worse.  The forecast, regardless of the name is no better than any other weather forecast, which is to say poor.  A few observations: There is no option that I’ve found for displaying wind speed. The cloud cover is truly odd, lighter cloud cover has darker opacity and heavier cloud cover is lighter opacity, huh?  That’s the opposite of what it should be.  I’ve got the Premium version and it offers a 25 day forecast, well isn’t that special.  The weather forecasters have trouble with tomorrows weather and they think they can forecast 25 days out?  For entertainment purposes only.  I get FAR too many severe weather notifications, many more than I get in Storm.  Most of them are repeats, if a winter weather advisory is posted at 9:00 AM I get a notification right away, if I turn the screen off I will find another notification the next time I open it, for the same original advisory.  Once is enough, thank you!  Finally, the radar is pretty worthless, sometimes there’s nothing there when there should be, other times while playing the past couple of hours some of the “slices” are missing so the rain/snow is hurry jerky.  When I check Storm’s radar it’s much better.  Sorry, but this app is pretty sad.",2018-02-20 14:30:15,2
9,9,False,"I have been traveling the USA with my family of 5 in a pop-up camper for the past year or so. We are sensitive to weather changes as we try to follow it around trying not to be too hot or cold or wet or dry. For months after we left home, I tried numerous weather apps simultaneously, comparing them for accuracy and ease of use and features. Sometimes I would try to use one exclusively for a while to see how it fit my flow of searching for the next location with good weather. I found the accuweather app to fit the right balance between being simple enough to use without headache and powerful enough to find specific conditions in new location. So I have happily subscribed and been using this app for the past 7 months or so without much complaint. The new update was teased a few days ago and I’m super excited about all the new changes. Somehow it has become incrementally more intuitive and easy to use while I find myself accessing old features in new ways. Very happy with it all.",therben,2020-07-22 05:01:26,5,Awesome update to a great app,,US,5,"I have been traveling the USA with my family of 5 in a pop-up camper for the past year or so. We are sensitive to weather changes as we try to follow it around trying not to be too hot or cold or wet or dry. For months after we left home, I tried numerous weather apps simultaneously, comparing them for accuracy and ease of use and features. Sometimes I would try to use one exclusively for a while to see how it fit my flow of searching for the next location with good weather. I found the accuweather app to fit the right balance between being simple enough to use without headache and powerful enough to find specific conditions in new location. So I have happily subscribed and been using this app for the past 7 months or so without much complaint. The new update was teased a few days ago and I’m super excited about all the new changes. Somehow it has become incrementally more intuitive and easy to use while I find myself accessing old features in new ways. Very happy with it all.",2020-07-22 05:01:26,5
